MFSF Catch Area,Region
20A,1
20B,1
21A,1
21B,1
22A,1
22B,1
23A,3-1
23B,3-1
23C,3-3
23D,3-3
24A,2E
24B,2E
24C,2E
24D,2E
25A,3-2
25B,2W
25C,5
25D,2W
25E,3-2
26A,2
26AE,2E
26AW,2W
26B,4
26C,4
26D,6 MA11
27A,5
27B,5
27C,5
28A,6 MA13
28B,6 MA13
28C,6 MA13
28D,6 MA13
29,3-3
